                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.7394,                 2.5846,                 1.2457,                0.64729,                 0.7405,                0.75675,                0.62526,                0.61545,                 1.6746,                 1.1199,              0.0033149,              0.0033149,              0.0033149
                      2,                0.77467,                 1.6328,                 1.2384,                0.76709,                0.75985,                0.83839,                0.67727,                0.67667,                 1.5908,                  1.208,              0.0066318,              0.0066318,              0.0066318
                      3,                0.82848,                 1.4884,                 1.2615,                0.74877,                0.70985,                0.79194,                0.59912,                0.84959,                 1.4198,                 1.3579,              0.0099322,              0.0099322,              0.0099322
                      4,                0.90298,                 1.4859,                 1.3187,                0.77341,                0.73011,                0.81441,                0.61075,                0.86521,                 1.2664,                 1.3539,              0.0099258,              0.0099258,              0.0099258
                      5,                0.88546,                 1.3627,                 1.2952,                0.78781,                0.72725,                0.83157,                0.66204,                0.74047,                 1.1777,                 1.2473,               0.009901,               0.009901,               0.009901
                      6,                0.88746,                 1.2704,                 1.3089,                0.77464,                0.75999,                0.82658,                0.68018,                 0.6846,                 1.0445,                 1.1938,              0.0098763,              0.0098763,              0.0098763
                      7,                0.85133,                 1.1594,                 1.2722,                0.77219,                 0.7448,                0.81238,                0.62934,                0.78957,                 1.0523,                  1.283,              0.0098515,              0.0098515,              0.0098515
                      8,                0.84233,                 1.0991,                 1.2725,                0.80989,                0.74522,                0.84413,                0.64513,                0.80494,                0.99696,                 1.2757,              0.0098268,              0.0098268,              0.0098268
                      9,                0.83054,                  1.044,                 1.2648,                0.84096,                0.76309,                 0.8567,                    0.7,                0.72782,                0.89094,                 1.2394,               0.009802,               0.009802,               0.009802
                     10,                0.80954,                0.98716,                 1.2505,                0.84279,                0.77769,                0.89119,                0.72669,                0.70278,                0.81852,                 1.1954,              0.0097773,              0.0097773,              0.0097773
                     11,                0.80449,                0.97064,                 1.2387,                0.90782,                0.82089,                0.89684,                0.75734,                0.66367,                0.74005,                  1.161,              0.0097525,              0.0097525,              0.0097525
                     12,                0.78235,                0.94159,                 1.2266,                 0.8756,                0.81855,                0.89115,                0.74368,                0.66515,                0.76412,                 1.1787,              0.0097278,              0.0097278,              0.0097278
                     13,                0.78069,                0.91681,                 1.2286,                0.87119,                0.81467,                0.89682,                0.76217,                  0.625,                0.71133,                 1.1247,               0.009703,               0.009703,               0.009703
                     14,                0.75689,                 0.8705,                 1.2058,                0.88935,                0.85279,                0.92527,                0.77819,                0.63307,                0.61639,                  1.147,              0.0096783,              0.0096783,              0.0096783
                     15,                0.76028,                0.87482,                 1.2117,                0.88259,                0.83116,                0.92297,                 0.7703,                0.63296,                0.68313,                 1.1509,              0.0096535,              0.0096535,              0.0096535
                     16,                0.75099,                0.84978,                 1.2009,                0.86133,                0.85039,                0.92892,                0.78641,                0.60714,                0.64983,                 1.1097,              0.0096288,              0.0096288,              0.0096288
                     17,                0.73257,                0.83817,                 1.1908,                0.88485,                0.83113,                0.91307,                0.75961,                0.68013,                0.66269,                 1.1935,               0.009604,               0.009604,               0.009604
                     18,                 0.7289,                0.81832,                 1.1882,                 0.9362,                0.84433,                0.93677,                0.80269,                0.58395,                0.55791,                 1.0902,              0.0095793,              0.0095793,              0.0095793
                     19,                0.71784,                 0.7779,                 1.1828,                0.92525,                 0.8716,                0.94651,                0.81739,                0.56161,                0.52911,                 1.0768,              0.0095545,              0.0095545,              0.0095545
                     20,                0.73791,                0.81078,                 1.1958,                0.92302,                0.87994,                0.94208,                0.80629,                 0.5927,                0.54701,                 1.0973,              0.0095298,              0.0095298,              0.0095298
                     21,                0.70375,                0.76372,                 1.1698,                0.92726,                0.87993,                0.94257,                0.80953,                0.57611,                0.52418,                 1.0947,               0.009505,               0.009505,               0.009505
                     22,                0.69925,                0.76259,                 1.1711,                0.91763,                 0.8911,                0.94605,                0.80963,                0.58441,                 0.5173,                 1.1021,              0.0094803,              0.0094803,              0.0094803
                     23,                0.69973,                0.74893,                 1.1696,                0.94387,                0.87701,                0.94793,                0.82068,                0.54624,                0.51226,                 1.0712,              0.0094555,              0.0094555,              0.0094555
                     24,                 0.7006,                0.73989,                 1.1676,                0.91203,                0.85442,                0.93434,                0.79323,                0.60268,                0.57299,                 1.0961,              0.0094307,              0.0094307,              0.0094307
                     25,                0.69095,                0.72033,                 1.1653,                0.92125,                0.87232,                0.94357,                0.81505,                0.54993,                0.50885,                 1.0619,               0.009406,               0.009406,               0.009406
                     26,                0.67572,                0.71463,                 1.1511,                0.93655,                0.88393,                0.95181,                0.82432,                0.54827,                0.49529,                 1.0645,              0.0093813,              0.0093813,              0.0093813
                     27,                 0.6767,                0.71094,                 1.1513,                0.93153,                0.88175,                0.95261,                0.83742,                0.53703,                0.47934,                  1.055,              0.0093565,              0.0093565,              0.0093565
                     28,                0.67335,                0.70125,                 1.1567,                0.94113,                0.86654,                0.93908,                0.82177,                  0.543,                0.50726,                 1.0506,              0.0093317,              0.0093317,              0.0093317
                     29,                0.65922,                0.67354,                 1.1462,                0.94827,                0.88603,                0.94829,                0.82368,                0.55046,                0.49468,                 1.0515,               0.009307,               0.009307,               0.009307
                     30,                0.66839,                0.68433,                  1.145,                0.94299,                0.90924,                0.95935,                0.84664,                0.51787,                 0.4319,                 1.0254,              0.0092823,              0.0092823,              0.0092823
                     31,                0.65481,                0.67695,                 1.1427,                0.92698,                0.90394,                0.94527,                0.83087,                0.53387,                 0.4801,                 1.0512,              0.0092575,              0.0092575,              0.0092575
                     32,                0.66767,                0.68258,                   1.15,                0.92386,                0.90049,                0.95398,                0.83793,                0.53172,                0.47393,                 1.0408,              0.0092327,              0.0092327,              0.0092327
                     33,                0.65038,                0.67108,                 1.1378,                0.92637,                0.90152,                0.95106,                0.83961,                0.52339,                0.46732,                 1.0344,               0.009208,               0.009208,               0.009208
                     34,                0.64947,                 0.6637,                 1.1397,                0.95704,                0.89227,                 0.9597,                0.85025,                0.51664,                0.43927,                 1.0332,              0.0091833,              0.0091833,              0.0091833
                     35,                0.64424,                0.65041,                 1.1349,                0.95263,                0.90656,                0.96158,                0.85319,                 0.5013,                0.43089,                 1.0185,              0.0091585,              0.0091585,              0.0091585
                     36,                0.63746,                0.63781,                 1.1333,                0.92755,                0.91987,                0.96004,                0.84988,                 0.5111,                0.43018,                 1.0271,              0.0091337,              0.0091337,              0.0091337
                     37,                 0.6307,                0.63429,                 1.1251,                0.96369,                0.89898,                0.96244,                0.84874,                0.50655,                0.40879,                 1.0296,               0.009109,               0.009109,               0.009109
                     38,                0.63044,                0.63922,                 1.1255,                0.94197,                0.89589,                0.95106,                0.83918,                0.54397,                0.47405,                 1.0679,              0.0090843,              0.0090843,              0.0090843
                     39,                0.62826,                 0.6309,                 1.1225,                0.95255,                   0.89,                0.95616,                0.84733,                0.51199,                0.43943,                 1.0337,              0.0090595,              0.0090595,              0.0090595
                     40,                0.62898,                0.61177,                 1.1182,                0.96452,                 0.9066,                0.96874,                0.86025,                0.49896,                0.39827,                 1.0135,              0.0090347,              0.0090347,              0.0090347
                     41,                0.63281,                0.62461,                 1.1223,                0.93386,                0.91751,                  0.968,                 0.8571,                0.50307,                0.42473,                 1.0148,                0.00901,                0.00901,                0.00901
                     42,                0.62513,                0.61587,                 1.1213,                0.94776,                0.92634,                0.97157,                0.85848,                0.51925,                0.39531,                 1.0318,              0.0089853,              0.0089853,              0.0089853
                     43,                0.61587,                0.60194,                 1.1107,                0.97543,                0.88593,                0.96676,                0.85372,                0.50433,                0.40904,                 1.0187,              0.0089605,              0.0089605,              0.0089605
                     44,                0.60506,                0.59189,                 1.1117,                0.95361,                0.89392,                0.95978,                0.85391,                0.50183,                0.41595,                 1.0219,              0.0089358,              0.0089358,              0.0089358
                     45,                0.60367,                 0.5991,                 1.1092,                0.95262,                0.89949,                 0.9625,                0.85882,                0.49415,                0.39857,                 1.0163,               0.008911,               0.008911,               0.008911
                     46,                0.61777,                0.59949,                 1.1103,                0.95187,                0.90578,                0.95929,                0.84946,                0.49073,                0.41678,                 1.0102,              0.0088863,              0.0088863,              0.0088863
                     47,                0.60449,                0.58747,                  1.108,                0.96455,                0.89951,                0.96012,                0.85773,                0.49983,                0.41332,                 1.0169,              0.0088615,              0.0088615,              0.0088615
                     48,                0.61504,                0.59136,                  1.111,                0.95273,                0.91158,                0.96637,                0.86287,                0.47842,                0.38708,                 1.0063,              0.0088368,              0.0088368,              0.0088368
                     49,                0.60345,                0.58436,                 1.1092,                0.95227,                0.90418,                0.96551,                0.86208,                0.48788,                0.39142,                 1.0121,               0.008812,               0.008812,               0.008812
                     50,                0.60656,                0.58529,                 1.1134,                0.95173,                0.89634,                0.96262,                0.85679,                0.48946,                 0.4053,                 1.0167,              0.0087872,              0.0087872,              0.0087872
                     51,                0.60751,                0.58269,                 1.1101,                0.96358,                0.90422,                0.96673,                0.86174,                0.48295,                0.39438,                  1.014,              0.0087625,              0.0087625,              0.0087625
                     52,                0.58805,                0.56429,                 1.0964,                 0.9592,                0.91414,                0.96721,                0.85997,                0.48171,                0.37974,                 1.0013,              0.0087378,              0.0087378,              0.0087378
                     53,                0.59947,                0.56962,                 1.0993,                0.95618,                0.89628,                0.95808,                 0.8627,                  0.482,                0.40377,                 1.0055,               0.008713,               0.008713,               0.008713
                     54,                0.59598,                0.57522,                 1.1013,                0.95208,                 0.9183,                0.96706,                0.85748,                0.49506,                0.39803,                 1.0228,              0.0086882,              0.0086882,              0.0086882
                     55,                0.59785,                0.56694,                 1.1027,                0.96059,                0.91512,                0.96361,                0.86376,                0.47227,                0.38482,                0.99401,              0.0086635,              0.0086635,              0.0086635
                     56,                0.58593,                0.55268,                 1.0989,                0.94647,                0.93871,                0.96971,                0.87333,                  0.478,                0.37076,                0.99755,              0.0086388,              0.0086388,              0.0086388
